,index,player,team,type,shot_outcome,shot_body_part,shot_type,location,shot_statsbomb_xg
1195,4031,Diego da Silva Costa,Spain,Shot,Goal,Right Foot,Open Play,"[118.0, 41.0]",0.7929192
1196,4032,José Ignacio Fernández Iglesias,Spain,Shot,Goal,Right Foot,Open Play,"[99.0, 52.0]",0.03518696
1197,4033,Diego da Silva Costa,Spain,Shot,Off T,Left Foot,Open Play,"[110.0, 35.0]",0.22789349
1198,4034,Kléper Laveran Lima Ferreira,Portugal,Shot,Wayward,Head,Open Play,"[116.0, 34.0]",0.11620741
1199,4035,Ricardo Andrade Quaresma Bernardo,Portugal,Shot,Off T,Right Foot,Open Play,"[107.0, 64.0]",0.025023904
1200,4036,Iago Aspas Juncal,Spain,Shot,Saved,Left Foot,Open Play,"[100.0, 48.0]",0.062179223
1201,4037,Cristiano Ronaldo dos Santos Aveiro,Portugal,Shot,Goal,Right Foot,Free Kick,"[96.0, 44.0]",0.10709231
1202,4038,Ricardo Andrade Quaresma Bernardo,Portugal,Shot,Blocked,Right Foot,Open Play,"[108.0, 31.0]",0.04740074
1203,4039,Cristiano Ronaldo dos Santos Aveiro,Portugal,Shot,Off T,Head,Open Play,"[113.0, 44.0]",0.107438534
1204,2859,Khalid Boutaïb,Morocco,Shot,Off T,Head,Open Play,"[109.0, 30.0]",0.020716103
1205,2860,Raphaël Adelino José Guerreiro,Portugal,Shot,Blocked,Left Foot,Open Play,"[91.0, 39.0]",0.013622488
1206,2861,Cristiano Ronaldo dos Santos Aveiro,Portugal,Shot,Goal,Head,Open Play,"[115.0, 41.0]",0.1869952
1207,2862,Cristiano Ronaldo dos Santos Aveiro,Portugal,Shot,Off T,Right Foot,Open Play,"[108.0, 56.0]",0.03559095
1208,2863,Medhi Amine El Mouttaqi Benatia,Morocco,Shot,Saved,Head,Open Play,"[114.0, 33.0]",0.051906142
1209,2864,Manuel Marouan da Costa Trinidade,Morocco,Shot,Off T,Head,Open Play,"[109.0, 45.0]",0.025755627
1210,2865,Hakim Ziyech,Morocco,Shot,Blocked,Left Foot,Open Play,"[109.0, 26.0]",0.034933552
1211,2866,Hakim Ziyech,Morocco,Shot,Saved,Right Foot,Open Play,"[92.0, 25.0]",0.01198129
1212,2867,Khalid Boutaïb,Morocco,Shot,Wayward,Head,Open Play,"[108.0, 44.0]",0.060267642
1213,2868,Cristiano Ronaldo dos Santos Aveiro,Portugal,Shot,Blocked,Right Foot,Free Kick,"[100.0, 34.0]",0.08999304
1214,2869,Karim El Ahmadi Al Aroos,Morocco,Shot,Off T,Right Foot,Open Play,"[87.0, 28.0]",0.015069329
1215,2870,Gonçalo Manuel Ganchinho Guedes,Portugal,Shot,Saved,Right Foot,Open Play,"[109.0, 34.0]",0.23386426
1216,2871,Younès Belhanda,Morocco,Shot,Off T,Head,Open Play,"[112.0, 41.0]",0.12758629
1217,2872,José Miguel da Rocha Fonte,Portugal,Shot,Off T,Head,Open Play,"[111.0, 42.0]",0.047847625
1218,2873,Gonçalo Manuel Ganchinho Guedes,Portugal,Shot,Wayward,Right Foot,Open Play,"[107.0, 31.0]",0.04070806
